name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,2010-01-01,230733,79,0.00125,0.652,0.812,3.01e-05,0.667,-3.797,0.0409,126.023,4
Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,76,0.00487,0.554,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4
Teenage Dream,Teenage Dream,Katy Perry,2010-01-01,227741,77,0.0162,0.719,0.798,2.34e-06,0.134,-4.582,0.0361,120.011,4
Firework,Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,227880,76,0.139,0.638,0.826,0.0,0.0803,-4.968,0.0479,124.072,4
Roar,PRISM,Katy Perry,2013-01-01,223546,82,0.00492,0.671,0.771,7.28e-06,0.354,-4.821,0.0316,90.003,4
California Gurls,Teenage Dream,Katy Perry,2010-01-01,234653,76,0.0038,0.788,0.753,0.0,0.18,-3.71,0.0536,125.005,4
When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),Alesso,2021-12-29,161266,80,0.028,0.685,0.886,0.0,0.481,-4.179,0.034,125.034,4
Hot N Cold,One Of The Boys,Katy Perry,2008-06-17,220226,75,7.95e-05,0.706,0.841,0.0,0.0688,-3.956,0.0418,132.032,4
Dark Horse,PRISM (Deluxe),Katy Perry,2013-10-18,215672,80,0.00314,0.645,0.585,0.0,0.165,-6.122,0.0513,131.931,4
I Kissed A Girl,One Of The Boys,Katy Perry,2008-06-17,179640,74,0.00223,0.699,0.76,0.0,0.132,-3.173,0.0677,129.996,4
The One That Got Away,Teenage Dream,Katy Perry,2010-01-01,227333,76,0.000812,0.691,0.795,1.02e-06,0.156,-4.021,0.0355,133.971,4
Hot N Cold,Hot N Cold,Katy Perry,2008-09-09,223226,56,8.1e-05,0.702,0.839,0.0,0.072,-3.992,0.0439,132.007,4
E.T.,Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,229573,71,0.0181,0.62,0.869,0.0,0.369,-5.252,0.175,151.684,4
Firework,Teenage Dream,Katy Perry,2010-01-01,227893,75,0.141,0.638,0.832,0.0,0.113,-5.039,0.049,124.071,4
